state,flower_common,flower_scientific,insect_common,insect_scientific
Alabama,Camellia,Camellia japonica,Monarch butterfly,Danaus plexippus
Alaska,Forget-me-not,Myosotis alpestris,Four-spotted skimmer dragonfly,Libellula quadrimaculata
Arizona,Saguaro cactus blossom,Carnegiea gigantea,Two-tailed swallowtail,Papilio multicaudata
Arkansas,Apple blossom,Malus,European honey bee,Apis mellifera
California,California poppy,Eschscholzia californica,California dogface butterfly,Zerene eurydice
Colorado,Rocky Mountain columbine,Aquilegia coerulea,Colorado hairstreak,Hypaurotis crysalus
Connecticut,Mountain laurel,Kalmia latifolia,European mantis,Mantis religiosa
Delaware,Peach blossom,Prunus persica,7-spotted ladybug,Coccinella septempunctata
Florida,Orange blossom,Citrus sinensis,Zebra longwing,Heliconius charitonius
Georgia,Cherokee rose,Rosa laevigata,European honey bee,Apis mellifera
Hawaii,Hawaiian hibiscus  (maʻo hau hele),Hibiscus brackenridgei,Kamehameha butterfly,Vanessa tameamea
Idaho,"Syringa, mock orange",Philadelphus lewisii,Monarch butterfly,Danaus plexippus
Illinois,Violet,Viola,Monarch butterfly,Danaus plexippus
Indiana,Peony,Paeonia,Say's firefly,Pyractomena angulata
Iowa,Wild rose,Rosa arkansana,,
Kansas,Sunflower,Helianthus annuus,European honey bee,Apis mellifera
Kentucky,Goldenrod,Solidago gigantea,European honey bee,Apis mellifera
Louisiana,Magnolia,Magnolia,European honey bee,Apis mellifera
Maine,White pine cone and tassel,Pinus strobus,European honey bee,Apis mellifera
Maryland,Black-eyed susan,Rudbeckia hirta,Baltimore checkerspot butterfly,Euphydryas phaeton
Massachusetts,Mayflower,Epigaea repens,Ladybug,Family Coccinellidae
Michigan,Apple blossom,Malus,,
Minnesota,Pink and white lady's slipper,Cypripedium reginae,Monarch butterfly,Danaus plexippus
Mississippi,Magnolia,Magnolia,European honey bee,Apis mellifera
Missouri,Hawthorn,Crataegus,European honey bee,Apis mellifera
Montana,Bitterroot,Lewisia rediviva,Mourning cloak butterfly,Nymphalis antiopa
Nebraska,Goldenrod,Solidago gigantea,European honey bee,Apis mellifera
Nevada,Sagebrush,Artemisia tridentata,Vivid dancer damselfly,Argia vivida
New Hampshire,Purple lilac,Syringa vulgaris,7-spotted ladybug,Coccinella septempunctata
New Jersey,Violet,Viola sororia,European honey bee,Apis mellifera
New Mexico,Yucca flower,Yucca,Tarantula hawk wasp,Pepsis grossa
New York,Rose,Rosa,9-spotted ladybug,Coccinella novemnotata
North Carolina,Flowering dogwood,Cornus florida,European honey bee,Apis mellifera
North Dakota,Wild prairie rose,Rosa blanda  or arkansana,Convergent lady beetle,Hippodamia convergens
Ohio,Scarlet carnation,Dianthus caryophyllus,Ladybug,Family Coccinellidae
Oklahoma,Oklahoma rose,Rosa,European honey bee,Apis mellifera
Oregon,Oregon grape,Mahonia aquifolium,Oregon swallowtail,Papilio oregonius
Pennsylvania,Mountain laurel,Kalmia latifolia,Pennsylvania firefly,Photuris pennsylvanica
Rhode Island,Violet,Viola,American burying beetle,Nicrophorus americanus
South Carolina,Yellow jessamine,Gelsemium sempervirens,Carolina mantis,Stagmomantis carolina
South Dakota,Pasque flower,Pulsatilla hirsutissima,European honey bee,Apis mellifera
Tennessee,Iris,Iris,Common eastern firefly,Photinus pyralis
Texas,Bluebonnet sp.,Lupinus sp.,Monarch butterfly,Danaus plexippus
Utah,Sego lily,Calochortus nuttallii,European honey bee,Apis mellifera
Vermont,Red clover,Trifolium pratense,European honey bee,Apis mellifera
Virginia,American dogwood,Cornus florida,Eastern tiger swallowtail,Papilio glaucus
Washington,Coast rhododendron,Rhododendron macrophyllum,Green darner dragonfly,Anax junius
West Virginia,Rhododendron,Rhododendron maximum,European honey bee,Apis mellifera
Wisconsin,Wood violet,Viola papilionacea,European honey bee,Apis mellifera
Wyoming,Indian paintbrush,Castilleja linariifolia,Sheridan's green hairstreak,Callophrys sheridanii
